node_id,admin_level,certification,city,country,department,established_year,funding_source,institution_name,institution_type,region,staff_count,timezone
0,local,FedRAMP,Rochester,USA,radiology,2016,public,mayo_clinic,tier1_hospital,north_america,4573,America/Chicago
1,regional,FedRAMP,Baltimore,USA,oncology,1958,mixed,johns_hopkins,tier2_hospital,europe,3573,America/New_York
2,local,ISO27001,Palo Alto,USA,cardiology,1977,research_grant,stanford_med,research_center,asia_pacific,2027,America/Los_Angeles
3,national,HIPAA_compliant,Boston,USA,neurology,2017,private,mass_general,mobile_unit,south_america,1356,America/New_York
4,national,FedRAMP,Los Angeles,USA,pathology,2012,private,ucla_health,edge_device,africa,836,America/Los_Angeles
5,regional,ISO27001,London,UK,radiology,1969,research_grant,mayo_clinic,tier1_hospital,north_america,3345,Europe/London
6,international,FedRAMP,Paris,France,oncology,1993,private,johns_hopkins,tier2_hospital,europe,3447,Europe/Paris
7,regional,HIPAA_compliant,Tokyo,Japan,cardiology,2019,private,stanford_med,research_center,asia_pacific,2616,Asia/Tokyo
8,international,SOC2,Singapore,Singapore,neurology,1957,private,mass_general,mobile_unit,south_america,3854,Asia/Singapore
9,international,ISO27001,Sydney,Australia,pathology,1957,private,ucla_health,edge_device,africa,521,Australia/Sydney
10,local,ISO27001,Rochester,USA,radiology,1968,mixed,mayo_clinic,tier1_hospital,north_america,4251,America/Chicago
11,international,HIPAA_compliant,Baltimore,USA,oncology,2010,public,johns_hopkins,tier2_hospital,europe,675,America/New_York
12,national,ISO27001,Palo Alto,USA,cardiology,1976,private,stanford_med,research_center,asia_pacific,315,America/Los_Angeles
13,local,FedRAMP,Boston,USA,neurology,2015,research_grant,mass_general,mobile_unit,south_america,3065,America/New_York
14,national,FedRAMP,Los Angeles,USA,pathology,1992,mixed,ucla_health,edge_device,africa,4080,America/Los_Angeles
15,local,FedRAMP,London,UK,radiology,1998,research_grant,mayo_clinic,tier1_hospital,north_america,2960,Europe/London
16,national,FedRAMP,Paris,France,oncology,1983,public,johns_hopkins,tier2_hospital,europe,806,Europe/Paris
17,national,SOC2,Tokyo,Japan,cardiology,1974,public,stanford_med,research_center,asia_pacific,4458,Asia/Tokyo
18,regional,HIPAA_compliant,Singapore,Singapore,neurology,1993,private,mass_general,mobile_unit,south_america,3032,Asia/Singapore
19,international,HIPAA_compliant,Sydney,Australia,pathology,1990,mixed,ucla_health,edge_device,africa,2515,Australia/Sydney
