node_id,admin_level,certification,city,country,department,established_year,funding_source,institution_name,institution_type,region,staff_count,timezone
0,international,ISO27001,Rochester,USA,radiology,1994,mixed,mayo_clinic,tier1_hospital,north_america,3888,America/Chicago
1,local,SOC2,Baltimore,USA,oncology,1950,public,johns_hopkins,tier2_hospital,europe,234,America/New_York
2,national,ISO27001,Palo Alto,USA,cardiology,1996,mixed,stanford_med,research_center,asia_pacific,4838,America/Los_Angeles
3,local,FedRAMP,Boston,USA,neurology,1997,mixed,mass_general,mobile_unit,south_america,3716,America/New_York
4,local,HIPAA_compliant,Los Angeles,USA,pathology,1959,research_grant,ucla_health,edge_device,africa,1085,America/Los_Angeles
5,regional,ISO27001,London,UK,radiology,1958,private,mayo_clinic,tier1_hospital,north_america,2980,Europe/London
6,local,ISO27001,Paris,France,oncology,1986,research_grant,johns_hopkins,tier2_hospital,europe,4615,Europe/Paris
7,national,FedRAMP,Tokyo,Japan,cardiology,2003,research_grant,stanford_med,research_center,asia_pacific,2669,Asia/Tokyo
8,national,HIPAA_compliant,Singapore,Singapore,neurology,1965,research_grant,mass_general,mobile_unit,south_america,3686,Asia/Singapore
9,national,ISO27001,Sydney,Australia,pathology,1995,private,ucla_health,edge_device,africa,3569,Australia/Sydney
