node_id,admin_level,certification,city,country,department,established_year,funding_source,institution_name,institution_type,region,staff_count,timezone
0,national,SOC2,Rochester,USA,radiology,1956,mixed,mayo_clinic,tier1_hospital,north_america,1205,America/Chicago
1,international,ISO27001,Baltimore,USA,oncology,1958,public,johns_hopkins,tier2_hospital,europe,921,America/New_York
2,national,SOC2,Palo Alto,USA,cardiology,1988,private,stanford_med,research_center,asia_pacific,3478,America/Los_Angeles
3,international,HIPAA_compliant,Boston,USA,neurology,2014,mixed,mass_general,mobile_unit,south_america,2220,America/New_York
4,national,HIPAA_compliant,Los Angeles,USA,pathology,1993,public,ucla_health,edge_device,africa,4793,America/Los_Angeles
5,regional,ISO27001,London,UK,radiology,1951,public,mayo_clinic,tier1_hospital,north_america,2730,Europe/London
6,local,ISO27001,Paris,France,oncology,1976,research_grant,johns_hopkins,tier2_hospital,europe,4849,Europe/Paris
7,international,HIPAA_compliant,Tokyo,Japan,cardiology,1956,research_grant,stanford_med,research_center,asia_pacific,65,Asia/Tokyo
8,national,SOC2,Singapore,Singapore,neurology,1985,private,mass_general,mobile_unit,south_america,4988,Asia/Singapore
9,international,HIPAA_compliant,Sydney,Australia,pathology,1983,public,ucla_health,edge_device,africa,54,Australia/Sydney
