node_id,admin_level,certification,city,country,department,established_year,funding_source,institution_name,institution_type,region,staff_count,timezone
0,local,SOC2,Rochester,USA,radiology,1955,public,mayo_clinic,tier1_hospital,north_america,569,America/Chicago
1,local,SOC2,Baltimore,USA,oncology,1963,research_grant,johns_hopkins,tier2_hospital,europe,458,America/New_York
2,international,HIPAA_compliant,Palo Alto,USA,cardiology,1989,mixed,stanford_med,research_center,asia_pacific,1093,America/Los_Angeles
3,international,ISO27001,Boston,USA,neurology,1950,private,mass_general,mobile_unit,south_america,4846,America/New_York
4,national,FedRAMP,Los Angeles,USA,pathology,2007,private,ucla_health,edge_device,africa,3226,America/Los_Angeles
5,regional,ISO27001,London,UK,radiology,1968,research_grant,mayo_clinic,tier1_hospital,north_america,4598,Europe/London
6,local,FedRAMP,Paris,France,oncology,2006,mixed,johns_hopkins,tier2_hospital,europe,97,Europe/Paris
7,international,ISO27001,Tokyo,Japan,cardiology,2011,private,stanford_med,research_center,asia_pacific,3714,Asia/Tokyo
8,international,SOC2,Singapore,Singapore,neurology,2003,private,mass_general,mobile_unit,south_america,2930,Asia/Singapore
9,regional,SOC2,Sydney,Australia,pathology,1965,research_grant,ucla_health,edge_device,africa,1054,Australia/Sydney
10,local,FedRAMP,Rochester,USA,radiology,2006,mixed,mayo_clinic,tier1_hospital,north_america,1763,America/Chicago
11,local,HIPAA_compliant,Baltimore,USA,oncology,2017,private,johns_hopkins,tier2_hospital,europe,4286,America/New_York
12,international,HIPAA_compliant,Palo Alto,USA,cardiology,1986,research_grant,stanford_med,research_center,asia_pacific,2000,America/Los_Angeles
13,local,ISO27001,Boston,USA,neurology,2014,private,mass_general,mobile_unit,south_america,808,America/New_York
14,international,FedRAMP,Los Angeles,USA,pathology,1972,research_grant,ucla_health,edge_device,africa,4076,America/Los_Angeles
15,international,FedRAMP,London,UK,radiology,2014,private,mayo_clinic,tier1_hospital,north_america,1454,Europe/London
16,regional,SOC2,Paris,France,oncology,2018,research_grant,johns_hopkins,tier2_hospital,europe,860,Europe/Paris
17,international,FedRAMP,Tokyo,Japan,cardiology,1953,public,stanford_med,research_center,asia_pacific,4483,Asia/Tokyo
18,national,HIPAA_compliant,Singapore,Singapore,neurology,1973,private,mass_general,mobile_unit,south_america,302,Asia/Singapore
19,national,HIPAA_compliant,Sydney,Australia,pathology,2000,private,ucla_health,edge_device,africa,3080,Australia/Sydney
