node_id,admin_level,certification,city,country,department,established_year,funding_source,institution_name,institution_type,region,staff_count,timezone
0,regional,ISO27001,Rochester,USA,radiology,1993,mixed,mayo_clinic,tier1_hospital,north_america,2047,America/Chicago
1,regional,FedRAMP,Baltimore,USA,oncology,1989,mixed,johns_hopkins,tier2_hospital,europe,4299,America/New_York
2,national,HIPAA_compliant,Palo Alto,USA,cardiology,1983,research_grant,stanford_med,research_center,asia_pacific,2580,America/Los_Angeles
3,local,ISO27001,Boston,USA,neurology,1989,research_grant,mass_general,mobile_unit,south_america,3987,America/New_York
4,international,HIPAA_compliant,Los Angeles,USA,pathology,1952,research_grant,ucla_health,edge_device,africa,3794,America/Los_Angeles
5,international,FedRAMP,London,UK,radiology,2000,mixed,mayo_clinic,tier1_hospital,north_america,1486,Europe/London
6,local,ISO27001,Paris,France,oncology,1980,public,johns_hopkins,tier2_hospital,europe,3271,Europe/Paris
7,international,HIPAA_compliant,Tokyo,Japan,cardiology,1950,research_grant,stanford_med,research_center,asia_pacific,160,Asia/Tokyo
8,international,HIPAA_compliant,Singapore,Singapore,neurology,1986,mixed,mass_general,mobile_unit,south_america,2257,Asia/Singapore
9,national,SOC2,Sydney,Australia,pathology,2015,research_grant,ucla_health,edge_device,africa,1193,Australia/Sydney
